"Anjanath Will", "Adrenaline", 2, "Stamina Cap Up", 4
"Bazelgeuse Protection", "Guts", 3, "", 
"Commission Guidance", "Carving Master", 4, "", 
"Diablos Mastery", "Bludgeoner", 2, "Non-elemental Boost", 4
"Guild Guidance", "Great Luck", 4, "", 
"Kirin Favor", "Capture Master", 3, "", 
"Kushala Daora Flight", "Nullify Wind Pressure", 3, "", 
"Nergigante Hunger", "Hasten Recovery", 3, "", 
"Odogaron Mastery", "Punishing Draw", 2, "Protective Polish", 4
"Pink Rathian Mastery", "Poison Duration Up", 3, "", 
"Rathalos Mastery", "Critical Element", 2, "Mind's Eye/Ballistic", 4
"Teostra Technique", "Master's Touch", 3, "", 
"Uragaan Protection", "Guard Up", 3, "", 
"Vaal Hazak Vitality", "Super Recovery", 3, "", 
"Xeno'jiiva Divinity", "Razor Sharp/Spare Shot", 3, "", 
"Zorah Magdaros Mastery", "Critical Status", 3, "", 
"Legiana Favor", "Good Luck", 2, "Bow Charge Plus", 4
"Soul of the Dragoon", "Elemental Airborne", 2, "Master's Touch", 4
"Lunastra Favor", "Stamina Cap Up", 2, "Mind's Eye/Ballistic", 4